Treatment Effect,Lower Treatment Effect,Upper Treatment Effect
-0.13823754362427684,-0.1861287347579913,-0.09034635249056233
-0.1966757658078358,-0.24501060881042003,-0.14834092280525157
-0.14004362258005265,-0.1941035512274899,-0.08598369393261532
-0.15875612022606883,-0.21544035426890737,-0.10207188618323021
-0.14250510646533132,-0.20213067025517317,-0.08287954267548941
-0.14636279888598108,-0.30845970298926945,0.015734105217307143
-0.1425380474923515,-0.2661227495662752,-0.018953345418427844
-0.16396291995842155,-0.2111315353758999,-0.11679430454094325
-0.20595827679502163,-0.2751363288744587,-0.1367802247155845
-0.2207888087038112,-0.32398583539695347,-0.1175917820106691
-0.11328616466637483,-0.18046303521055268,-0.04610929412219693
-0.1687085982290805,-0.293642105333393,-0.04377509112476789
-0.16594209709902272,-0.2534225851256676,-0.07846160907237786
-0.17562916407306703,-0.22185555819333738,-0.12940276995279662
-0.20291402377455847,-0.24954398889459775,-0.15628405865451903
-0.16910657788225597,-0.20539418347403743,-0.13281897229047446
-0.12790871852873617,-0.20736296296756454,-0.04845447408990776
-0.16665327572293212,-0.2285995847422439,-0.10470696670362037
-0.1146610141227339,-0.45336344609055623,0.22404141784508844
-0.1549024749828285,-0.22774391733568067,-0.0820610326299765
-0.1741793054562849,-0.24077240265424577,-0.10758620825832402
-0.19018317149553582,-0.28672317700587674,-0.09364316598519491
-0.1380337971078577,-0.20405837827286383,-0.07200921594285156
-0.13389421877713195,-0.23122082839535185,-0.03656760915891209
-0.20846265046208318,-0.27762547942789484,-0.1392998214962713
-0.1822581985604551,-0.2479201870372622,-0.11659621008364804
-0.21214971439250482,-0.24757127104901905,-0.17672815773599063
-0.16513190873506203,-0.21912316951176442,-0.1111406479583596
-0.19092919231424693,-0.23657332429827277,-0.14528506033022096
-0.201992195158155,-0.2495741130744795,-0.15441027724183054
-0.17321935860092388,-0.21141536526788446,-0.13502335193396353
-0.20127208199367902,-0.3173818828008586,-0.08516228118649967
-0.19659603581355295,-0.23200138661012817,-0.1611906850169777
-0.1910834248431349,-0.26687913559778254,-0.11528771408848722
-0.19913596633780234,-0.25151357197366353,-0.14675836070194104
-0.17929861859610802,-0.21285803663798955,-0.1457392005542266
-0.17206534857097808,-0.2253075318148248,-0.11882316532713136
-0.1725124698065851,-0.25805058180102,-0.08697435781215052
